,date,text,topic,topic_proba
45271,1683468001,"В Шереметьево Александр Чернышов был снят с рейса и задержан за мелкое хулиганство. Суд отправил его под арест на 15 суток.

https://www.business-class.su/news/2023/05/06/glavu-permskogo-centra-istoricheskoi-pamyati-otpravili-pod-arest-na-15-sutok",Силовые структуры,0.53092575
45270,1683460801,"Краевое Минимущества утвердило документацию по планировке территории для строительства подземного пешеходного перехода от многофункционального центра «Эспланада». Его построят не позднее 2025 года.

https://www.business-class.su/news/2023/05/05/v-permi-utverdili-dokumentaciyu-dlya-stroitelstva-podzemnogo-perehoda-ot-mfc-esplanada",Город,0.9343257
45269,1683453601,"Участок площадью 7,4 га под строительство коммерческого объекта в Индустриальном районе Перми повторно выставили на торги.

https://www.business-class.su/news/2023/05/05/domrf-vnov-vystavil-na-torgi-uchastok-pod-kommercheskoe-stroitelstvo-v-verhnih-mullah",Город,0.7617116
45268,1683446401,"Салют в честь Дня Победы пройдет с 23.00 до 23.10. После этого жители города смогут воспользоваться автобусами и трамваями.

https://www.business-class.su/news/2023/05/06/v-den-pobedy-v-permi-prodlyat-rabotu-obshchestvennogo-transporta",Город,0.8663013
45267,1683439200,"В пермском ТРЦ «Планета» на месте испанского бренда Stradivarius открылся магазин VILET. Отдел занял помещение размером 585 кв. м на первом этаже молла.

https://www.business-class.su/news/2023/05/03/v-permskom-trc-planeta-na-meste-stradivarius-otkrylsya-magazin-vilet",Город,0.8709536
45266,1683432000,"С началом сезона проката спрос на аренду электросамокатов в Перми вырос по сравнению с прошлым годом на 42 %. В теплое время жители крупных городов рассматривают такой транспорт как доступную альтернативу такси, каршерингу и личным автомобилям. 

https://www.business-class.su/news/2023/05/04/spros-na-arendu-elektrosamokatov-v-permi-vyros-na-42",Город,0.37712875
45471,1684595520,Природа Пермского края 🌿 Сезон сплавов в разгаре!,Город,0.48201227
45470,1684587600,"Авиакомпания «Россия» запускает дополнительный рейс из Санкт-Петербурга в Пермь и обратно. Полеты будут выполнять с 1 июня в ежедневном режиме.

https://www.business-class.su/news/2023/05/18/aviakompaniya-rossiya-uvelichivaet-chastotu-poletov-iz-permi-v-sankt-peterburg",Экономика,0.81934065
45469,1684576800,"Между территорией АО «Амбер Пермалко» и будущим гостиничным комплексом по ул. Окулова, 14 планируют проложить пешеходную улицу. На ней предусмотрят преимущественно пешеходное движение.

https://www.business-class.su/news/2023/05/18/vozle-budushchego-gostinichnogo-kompleksa-na-meste-dk-telta-prolozhat-peshehodnuyu-ulicu",Город,0.9960914
45467,1684569601,"В Арбитражный суд Москвы поступило исковое заявление генерального подрядчика строительства Чусовского моста АО «Стройтрансгаз» к ООО «Трест Запсибгидрострой». Компании заключали договор субподряда на выполнение строительных работ в рамках концессионного соглашения в Пермском крае.

https://www.business-class.su/news/2023/05/18/stroitransgaz-podal-isk-k-subpodryadchiku-stroitelstva-chusovskogo-mosta",Экономика,0.89722615
45466,1684562581,"Члены Молодежного парламента Перми обсудили результаты мониторинга доступности городской среды для маломобильных категорий граждан. В целом по городу показатель составляет 47 %.

https://www.business-class.su/news/2023/05/19/molparlament-permi-dostupnost-gorodskoi-sredy-dlya-malomobilnyh-grazhdan-okolo-50",Город,0.61039275
